No,institution_id,course_id,hyperlink,duration,min_credits,min_pass,pass_bm,pass_history,pass_math,pass_science_tech,pass_math_sci,credit_math_sci_tech,credit_math_sci,credit_english,3m_only,single,no_colorblind,no_disability, monthly_allowance , practical_allowance ,free_hostel,free_meals,tuition_fee,registration_fee,req_academic
1,IKBN-004,IKBN-DIP-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35198,36 Bulan,1,2,1,1,0,0,0,1,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Credit Math/Science/Tech
2,IKBN-005,IKBN-DIP-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35199,36 Bulan,1,2,1,1,0,0,0,1,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Credit Math/Science/Tech
3,IKBN-020,IKBN-DIP-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35202,36 Bulan,1,2,1,1,0,0,0,1,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Credit Math/Science/Tech
4,IKBN-012,IKBN-DIP-002,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14258,36 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
5,IKBN-010,IKBN-DIP-003,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35118,37 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
6,IKBN-001,IKBN-DIP-006,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14603,34 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
7,IKBN-012,IKBN-DIP-007,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=43815,34 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
8,IKBN-001,IKBN-CET-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14612,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
9,IKBN-003,IKBN-CET-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14375,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
10,IKBN-014,IKBN-CET-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14465,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
11,IKBN-003,IKBN-CET-002,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14399,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
12,IKBN-008,IKBN-CET-002,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14276,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
13,IKBN-014,IKBN-CET-002,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14477,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
14,IKBN-007,IKBN-CET-003,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14411,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
15,IKBN-014,IKBN-CET-003,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14483,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
16,IKBN-003,IKBN-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=44202,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
17,IKBN-003,IKBN-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=43845,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
18,IKBN-007,IKBN-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45292,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,1,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
19,IKBN-008,IKBN-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45289,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
20,IKBN-014,IKBN-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14456,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
21,IKBN-021,IKBN-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14531,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
22,IKBN-003,IKBN-CET-006,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14363,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
23,IKBN-014,IKBN-CET-006,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14468,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
24,IKBN-016,IKBN-CET-007,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45298,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
25,IKBN-004,IKBN-CET-008,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33765,24 Bulan,0,4,1,1,1,1,0,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Add Maths & Pass Science/Tech
26,IKBN-020,IKBN-CET-008,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33768,24 Bulan,0,4,1,1,1,1,0,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Add Maths & Pass Science/Tech
27,IKBN-012,IKBN-CET-009,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30635,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
28,IKBN-004,IKBN-CET-010,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14489,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
29,IKBN-011,IKBN-CET-010,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14450,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
30,IKBN-013,IKBN-CET-011,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14240,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
31,IKBN-017,IKBN-CET-012,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14798,21 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
32,IKBN-010,IKBN-CET-013,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14639,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
33,IKBN-019,IKBN-CET-014,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14195,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
34,IKBN-021,IKBN-CET-014,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14561,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
35,IKBN-005,IKBN-CET-015,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14342,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
36,IKBN-008,IKBN-CET-015,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14306,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
37,IKBN-017,IKBN-CET-016,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14783,21 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
38,IKBN-010,IKBN-CET-017,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14660,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
39,IKBN-017,IKBN-CET-018,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=44208,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
40,IKBN-011,IKBN-CET-019,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14453,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
41,IKBN-014,IKBN-CET-020,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14471,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
42,IKBN-018,IKBN-CET-021,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14432,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
43,IKBN-016,IKBN-CET-022,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14759,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
44,IKBN-001,IKBN-CET-023,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14567,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
45,IKBN-004,IKBN-CET-024,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30661,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
46,IKBN-018,IKBN-CET-025,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14435,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
47,IKBN-004,IKBN-CET-026,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14504,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
48,IKBN-021,IKBN-CET-026,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=14525,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
49,IKBN-018,IKBN-CET-027,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30656,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
50,IKBN-018,IKBN-CET-028,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30653,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
51,IKBN-015,IKBN-CET-029,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45421,24 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
52,IKBN-014,IKBN-CET-032,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30659,15 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,0,1, RM100 , RM300 ,1,1,Percuma,Percuma,
53,IKBN-011,IKBN-CET-034,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33783,24 Bulan,0,2,1,1,0,0,1,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Science
54,IKBN-013,IKBN-CET-034,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33777,24 Bulan,0,2,1,1,0,0,1,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Science
55,IJTM-004,IJTM-DIP-010,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9581,36 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
56,IJTM-004,IJTM-DIP-017,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=35147,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
57,IJTM-027,IJTM-DIP-017,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33902,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
58,IJTM-004,IJTM-DIP-019,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36797,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
59,IJTM-027,IJTM-DIP-022,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33893,34 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
60,IJTM-026,IJTM-DIP-024,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10049,36 Bulan,0,4,1,1,1,0,0,0,0,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,
61,IJTM-026,IJTM-DIP-026,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=10007,36 Bulan,3,0,1,1,0,0,0,1,0,1,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science/Tech
62,IJTM-001,IJTM-DIP-032,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=8718,36 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
63,IJTM-001,IJTM-DIP-033,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=34568,34 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
64,IJTM-001,IJTM-DIP-034,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7774,36 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
65,IJTM-001,IJTM-DIP-035,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33983,34 Bulan,3,0,1,1,0,0,0,0,1,0,0,0,1,1, RM- , RM- ,0,1,Pinjaman PTPK,Pinjaman PTPK,Credit Math/Science
66,IJTM-029,IJTM-CET-001,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33929,16 Bulan,0,2,1,1,0,0,0,0,0,0,0,0,1,1, RM- , RM- ,1,1,Percuma,Percuma,
67,IJTM-029,IJTM-CET-002,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40510,16 Bulan,0,2,1,1,0,0,0,0,0,0,0,0,1,1, RM- , RM- ,1,1,Percuma,Percuma,
68,IJTM-029,IJTM-CET-003,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40507,16 Bulan,0,2,1,1,0,0,0,0,0,0,0,0,1,1, RM- , RM- ,1,1,Percuma,Percuma,
69,IJTM-002,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=9290,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
70,IJTM-008,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7768,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
71,IJTM-013,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=8776,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
72,IJTM-015,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36888,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
73,IJTM-016,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=45048,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
74,IJTM-021,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7111,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
75,IJTM-028,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7231,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
76,IJTM-032,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=40218,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
77,IJTM-034,IJTM-CET-004,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7306,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
78,IJTM-024,IJTM-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=42539,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
79,IJTM-033,IJTM-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30603,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
80,IJTM-034,IJTM-CET-005,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7300,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
81,IJTM-024,IJTM-CET-006,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=39077,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
82,IJTM-003,IJTM-CET-007,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36785,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
83,IJTM-019,IJTM-CET-007,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36755,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
84,IJTM-020,IJTM-CET-007,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=36701,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
85,IJTM-019,IJTM-CET-008,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=7480,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
86,IJTM-032,IJTM-CET-008,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=30540,27 Bulan,0,0,0,0,0,0,0,0,0,0,1,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,
87,IJTM-002,IJTM-CET-009,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33911,27 Bulan,0,4,1,1,1,1,0,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Add Maths & Pass Science/Tech
88,IJTM-003,IJTM-CET-009,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33956,27 Bulan,0,4,1,1,1,1,0,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Add Maths & Pass Science/Tech
89,IJTM-013,IJTM-CET-009,https://mohon.tvet.gov.my/awam-kursus/kursus?id_kursus=33989,27 Bulan,0,4,1,1,1,1,0,0,0,0,0,0,1,1, RM100 , RM300 ,1,1,Percuma,Percuma,Pass Math/Add Maths & Pass Science/Tech
