institution_ID,course_ID
POLY-022,POLY-DIP-001
POLY-027,POLY-DIP-001
POLY-023,POLY-DIP-002
POLY-001,POLY-DIP-003
POLY-002,POLY-DIP-003
POLY-005,POLY-DIP-003
POLY-014,POLY-DIP-003
POLY-016,POLY-DIP-003
POLY-035,POLY-DIP-059
POLY-028,POLY-DIP-004
POLY-004,POLY-DIP-005
POLY-008,POLY-DIP-005
POLY-017,POLY-DIP-006
POLY-001,POLY-DIP-007
POLY-002,POLY-DIP-007
POLY-003,POLY-DIP-007
POLY-004,POLY-DIP-007
POLY-005,POLY-DIP-007
POLY-006,POLY-DIP-007
POLY-007,POLY-DIP-007
POLY-008,POLY-DIP-007
POLY-011,POLY-DIP-007
POLY-013,POLY-DIP-007
POLY-014,POLY-DIP-007
POLY-015,POLY-DIP-007
POLY-016,POLY-DIP-007
POLY-017,POLY-DIP-007
POLY-020,POLY-DIP-007
POLY-003,POLY-DIP-008
POLY-004,POLY-DIP-008
POLY-006,POLY-DIP-008
POLY-014,POLY-DIP-008
POLY-015,POLY-DIP-008
POLY-016,POLY-DIP-008
POLY-025,POLY-DIP-008
POLY-033,POLY-DIP-010
POLY-006,POLY-DIP-011
POLY-006,POLY-DIP-012
POLY-022,POLY-DIP-012
POLY-001,POLY-DIP-009
POLY-002,POLY-DIP-009
POLY-003,POLY-DIP-009
POLY-004,POLY-DIP-009
POLY-005,POLY-DIP-009
POLY-007,POLY-DIP-009
POLY-009,POLY-DIP-009
POLY-010,POLY-DIP-009
POLY-012,POLY-DIP-009
POLY-013,POLY-DIP-009
POLY-016,POLY-DIP-009
POLY-020,POLY-DIP-009
POLY-025,POLY-DIP-009
POLY-018,POLY-DIP-013
POLY-008,POLY-DIP-014
POLY-009,POLY-DIP-014
POLY-011,POLY-DIP-014
POLY-001,POLY-DIP-015
POLY-002,POLY-DIP-015
POLY-006,POLY-DIP-015
POLY-007,POLY-DIP-015
POLY-010,POLY-DIP-015
POLY-013,POLY-DIP-015
POLY-014,POLY-DIP-015
POLY-015,POLY-DIP-015
POLY-016,POLY-DIP-015
POLY-017,POLY-DIP-015
POLY-018,POLY-DIP-015
POLY-001,POLY-DIP-016
POLY-003,POLY-DIP-016
POLY-004,POLY-DIP-016
POLY-005,POLY-DIP-016
POLY-006,POLY-DIP-016
POLY-007,POLY-DIP-016
POLY-008,POLY-DIP-016
POLY-009,POLY-DIP-016
POLY-010,POLY-DIP-016
POLY-013,POLY-DIP-016
POLY-014,POLY-DIP-016
POLY-015,POLY-DIP-016
POLY-016,POLY-DIP-016
POLY-017,POLY-DIP-016
POLY-018,POLY-DIP-016
POLY-020,POLY-DIP-016
POLY-008,POLY-DIP-017
POLY-033,POLY-DIP-018
POLY-001,POLY-DIP-019
POLY-002,POLY-DIP-019
POLY-004,POLY-DIP-019
POLY-005,POLY-DIP-019
POLY-006,POLY-DIP-019
POLY-007,POLY-DIP-019
POLY-008,POLY-DIP-019
POLY-009,POLY-DIP-019
POLY-010,POLY-DIP-019
POLY-011,POLY-DIP-019
POLY-013,POLY-DIP-019
POLY-014,POLY-DIP-019
POLY-015,POLY-DIP-019
POLY-016,POLY-DIP-019
POLY-018,POLY-DIP-019
POLY-020,POLY-DIP-019
POLY-023,POLY-DIP-019
POLY-024,POLY-DIP-019
POLY-019,POLY-DIP-031
POLY-019,POLY-DIP-020
POLY-001,POLY-DIP-021
POLY-002,POLY-DIP-021
POLY-004,POLY-DIP-021
POLY-005,POLY-DIP-021
POLY-006,POLY-DIP-021
POLY-013,POLY-DIP-021
POLY-015,POLY-DIP-021
POLY-009,POLY-DIP-022
POLY-003,POLY-DIP-023
POLY-010,POLY-DIP-023
POLY-003,POLY-DIP-024
POLY-005,POLY-DIP-024
POLY-006,POLY-DIP-024
POLY-007,POLY-DIP-024
POLY-009,POLY-DIP-024
POLY-010,POLY-DIP-024
POLY-013,POLY-DIP-024
POLY-014,POLY-DIP-024
POLY-015,POLY-DIP-024
POLY-016,POLY-DIP-024
POLY-019,POLY-DIP-024
POLY-024,POLY-DIP-024
POLY-008,POLY-DIP-025
POLY-001,POLY-DIP-026
POLY-005,POLY-DIP-026
POLY-004,POLY-DIP-027
POLY-033,POLY-DIP-028
POLY-003,POLY-DIP-029
POLY-019,POLY-DIP-030
POLY-001,POLY-DIP-032
POLY-003,POLY-DIP-032
POLY-004,POLY-DIP-032
POLY-006,POLY-DIP-032
POLY-007,POLY-DIP-032
POLY-009,POLY-DIP-032
POLY-013,POLY-DIP-032
POLY-014,POLY-DIP-032
POLY-015,POLY-DIP-032
POLY-016,POLY-DIP-032
POLY-023,POLY-DIP-032
POLY-024,POLY-DIP-033
POLY-001,POLY-DIP-034
POLY-003,POLY-DIP-035
POLY-005,POLY-DIP-035
POLY-008,POLY-DIP-035
POLY-015,POLY-DIP-035
POLY-005,POLY-DIP-036
POLY-033,POLY-DIP-036
POLY-030,POLY-DIP-037
POLY-001,POLY-DIP-038
POLY-031,POLY-DIP-038
POLY-001,POLY-DIP-039
POLY-010,POLY-DIP-039
POLY-017,POLY-DIP-039
POLY-023,POLY-DIP-039
POLY-030,POLY-DIP-039
POLY-019,POLY-DIP-040
POLY-026,POLY-DIP-040
POLY-003,POLY-DIP-041
POLY-004,POLY-DIP-041
POLY-006,POLY-DIP-041
POLY-007,POLY-DIP-041
POLY-008,POLY-DIP-041
POLY-014,POLY-DIP-041
POLY-015,POLY-DIP-041
POLY-016,POLY-DIP-041
POLY-001,POLY-DIP-042
POLY-004,POLY-DIP-042
POLY-005,POLY-DIP-042
POLY-008,POLY-DIP-042
POLY-010,POLY-DIP-042
POLY-015,POLY-DIP-042
POLY-016,POLY-DIP-042
POLY-018,POLY-DIP-042
POLY-019,POLY-DIP-042
POLY-020,POLY-DIP-042
POLY-025,POLY-DIP-042
POLY-009,POLY-DIP-043
POLY-014,POLY-DIP-043
POLY-018,POLY-DIP-043
POLY-007,POLY-DIP-044
POLY-009,POLY-DIP-044
POLY-014,POLY-DIP-044
POLY-028,POLY-DIP-044
POLY-002,POLY-DIP-045
POLY-007,POLY-DIP-045
POLY-010,POLY-DIP-045
POLY-023,POLY-DIP-045
POLY-030,POLY-DIP-082
POLY-009,POLY-DIP-046
POLY-014,POLY-DIP-046
POLY-017,POLY-DIP-046
POLY-018,POLY-DIP-046
POLY-019,POLY-DIP-046
POLY-026,POLY-DIP-046
POLY-029,POLY-DIP-046
POLY-031,POLY-DIP-046
POLY-001,POLY-DIP-047
POLY-015,POLY-DIP-047
POLY-023,POLY-DIP-047
POLY-007,POLY-DIP-048
POLY-018,POLY-DIP-048
POLY-026,POLY-DIP-048
POLY-001,POLY-DIP-049
POLY-002,POLY-DIP-049
POLY-003,POLY-DIP-049
POLY-004,POLY-DIP-049
POLY-005,POLY-DIP-049
POLY-006,POLY-DIP-049
POLY-007,POLY-DIP-049
POLY-010,POLY-DIP-049
POLY-011,POLY-DIP-049
POLY-014,POLY-DIP-049
POLY-015,POLY-DIP-049
POLY-016,POLY-DIP-049
POLY-018,POLY-DIP-049
POLY-019,POLY-DIP-049
POLY-020,POLY-DIP-049
POLY-026,POLY-DIP-049
POLY-003,POLY-DIP-050
POLY-017,POLY-DIP-051
POLY-018,POLY-DIP-051
POLY-029,POLY-DIP-051
POLY-008,POLY-DIP-052
POLY-011,POLY-DIP-052
POLY-009,POLY-DIP-053
POLY-009,POLY-DIP-054
POLY-019,POLY-DIP-054
POLY-021,POLY-DIP-054
POLY-009,POLY-DIP-055
POLY-002,POLY-DIP-056
POLY-006,POLY-DIP-056
POLY-017,POLY-DIP-056
POLY-018,POLY-DIP-056
POLY-020,POLY-DIP-056
POLY-025,POLY-DIP-056
POLY-001,POLY-DIP-057
POLY-002,POLY-DIP-057
POLY-003,POLY-DIP-057
POLY-006,POLY-DIP-057
POLY-014,POLY-DIP-057
POLY-017,POLY-DIP-057
POLY-009,POLY-DIP-058
POLY-014,POLY-DIP-058
POLY-002,POLY-DIP-060
POLY-023,POLY-DIP-060
POLY-022,POLY-DIP-061
POLY-027,POLY-DIP-061
POLY-007,POLY-DIP-062
POLY-008,POLY-DIP-062
POLY-023,POLY-DIP-063
POLY-035,POLY-DIP-064
POLY-035,POLY-DIP-065
POLY-033,POLY-DIP-066
POLY-009,POLY-DIP-067
POLY-018,POLY-DIP-068
POLY-032,POLY-DIP-068
POLY-018,POLY-DIP-069
POLY-002,POLY-DIP-070
POLY-033,POLY-DIP-070
POLY-002,POLY-DIP-071
POLY-001,POLY-DIP-072
POLY-003,POLY-DIP-072
POLY-005,POLY-DIP-072
POLY-010,POLY-DIP-072
POLY-012,POLY-DIP-072
POLY-013,POLY-DIP-072
POLY-017,POLY-DIP-072
POLY-018,POLY-DIP-072
POLY-019,POLY-DIP-072
POLY-020,POLY-DIP-072
POLY-021,POLY-DIP-072
POLY-025,POLY-DIP-072
POLY-034,POLY-DIP-072
POLY-001,POLY-DIP-073
POLY-005,POLY-DIP-073
POLY-010,POLY-DIP-073
POLY-012,POLY-DIP-073
POLY-017,POLY-DIP-073
POLY-018,POLY-DIP-073
POLY-019,POLY-DIP-073
POLY-020,POLY-DIP-073
POLY-021,POLY-DIP-073
POLY-025,POLY-DIP-073
POLY-001,POLY-DIP-074
POLY-025,POLY-DIP-074
POLY-032,POLY-DIP-074
POLY-028,POLY-DIP-075
POLY-019,POLY-DIP-076
POLY-010,POLY-DIP-077
POLY-019,POLY-DIP-078
POLY-003,POLY-DIP-079
POLY-004,POLY-DIP-079
POLY-007,POLY-DIP-079
POLY-015,POLY-DIP-079
POLY-034,POLY-DIP-080
POLY-034,POLY-DIP-081
POLY-020,POLY-CET-001
POLY-020,POLY-CET-002
POLY-020,POLY-CET-003